Phase,Film,U.S. release date,Box office gross U.S. and Canada,Box office gross Other territories,Box office gross Worldwide,All-time ranking U.S. and Canada,All-time ranking Worldwide,Rotten Tomatoes Rating,CinemaScore,Budget,movie_image
Phase One,Iron Man,"May 2, 2008",319034126,266762121,585796247,79,176,94,A,140000000,https://upload.wikimedia.org/wikipedia/en/0/02/Iron_Man_%282008_film%29_poster.jpg
Phase One,The Incredible Hulk,"June 13, 2008",134806913,129964083,264770996,465,593,67,A−,150000000,https://upload.wikimedia.org/wikipedia/en/f/f0/The_Incredible_Hulk_%28film%29_poster.jpg
Phase One,Iron Man 2,"May 7, 2010",312433331,311500000,623933331,85,158,71,A,200000000,https://upload.wikimedia.org/wikipedia/en/e/ed/Iron_Man_2_poster.jpg
Phase One,Thor,"May 6, 2011",181030624,268295994,449326618,262,268,77,B+,150000000,https://upload.wikimedia.org/wikipedia/en/9/95/Thor_%28film%29_poster.jpg
Phase One,Captain America: The First Avenger,"July 22, 2011",176654505,193915269,370569774,279,367,79,A−,140000000,https://upload.wikimedia.org/wikipedia/en/3/37/Captain_America_The_First_Avenger_poster.jpg
Phase One,Marvel's The Avengers,"May 4, 2012",623357910,895457605,1518815515,10,9,91,A+,220000000,https://upload.wikimedia.org/wikipedia/en/8/8a/The_Avengers_%282012_film%29_poster.jpg
Phase Two,Iron Man 3,"May 3, 2013",409013994,805797258,1214811252,33,21,79,A,200000000,https://upload.wikimedia.org/wikipedia/en/1/19/Iron_Man_3_poster.jpg
Phase Two,Thor: The Dark World,"November 8, 2013",206362140,438421000,644783140,208,148,66,A−,170000000,https://upload.wikimedia.org/wikipedia/en/7/7f/Thor_The_Dark_World_poster.jpg
Phase Two,Captain America: The Winter Soldier,"April 4, 2014",259766572,454654931,714421503,121,122,90,A,177000000,https://upload.wikimedia.org/wikipedia/en/9/9e/Captain_America_The_Winter_Soldier_poster.jpg
Phase Two,Guardians of the Galaxy,"August 1, 2014",333718600,439631547,773350147,68,104,92,A,170000000,https://upload.wikimedia.org/wikipedia/en/3/33/Guardians_of_the_Galaxy_%28film%29_poster.jpg
Phase Two,Avengers: Age of Ultron,"May 1, 2015",459005868,943800000,1402805868,21,12,76,A,444000000,https://upload.wikimedia.org/wikipedia/en/f/ff/Avengers_Age_of_Ultron_poster.jpg
Phase Two,Ant-Man,"July 17, 2015",180202163,339109802,519311965,265,217,83,A,130000000,https://upload.wikimedia.org/wikipedia/en/1/12/Ant-Man_%28film%29_poster.jpg
Phase Three,Captain America: Civil War,"May 6, 2016",408084349,745211944,1153296293,34,23,90,A,250000000,https://upload.wikimedia.org/wikipedia/en/5/53/Captain_America_Civil_War_poster.jpg
Phase Three,Doctor Strange,"November 4, 2016",232641920,445076475,677718395,156,137,89,A,165000000,https://upload.wikimedia.org/wikipedia/en/a/a1/Doctor_Strange_%282016_film%29_poster.jpg
Phase Three,Guardians of the Galaxy Vol. 2,"May 5, 2017",389813101,473942950,863756051,42,77,85,A,200000000,https://upload.wikimedia.org/wikipedia/en/a/ab/Guardians_of_the_Galaxy_Vol_2_poster.jpg
Phase Three,Spider-Man: Homecoming,"July 7, 2017",334201140,545965784,880166924,66,69,92,A,175000000,https://upload.wikimedia.org/wikipedia/en/f/f9/Spider-Man_Homecoming_poster.jpg
Phase Three,Thor: Ragnarok,"November 3, 2017",315058289,538918837,853977126,81,80,93,A,180000000,https://upload.wikimedia.org/wikipedia/en/7/7d/Thor_Ragnarok_poster.jpg
Phase Three,Black Panther,"February 16, 2018",700426566,646853595,1347280161,5,13,96,A+,200000000,https://upload.wikimedia.org/wikipedia/en/d/d6/Black_Panther_%28film%29_poster.jpg
Phase Three,Avengers: Infinity War,"April 27, 2018",678815482,1369544272,2048359754,6,5,85,A,400000000,https://upload.wikimedia.org/wikipedia/en/4/4d/Avengers_Infinity_War_poster.jpg
Phase Three,Ant-Man and the Wasp,"July 6, 2018",216648740,406025399,622674139,185,160,87,A−,162000000,https://upload.wikimedia.org/wikipedia/en/2/2c/Ant-Man_and_the_Wasp_poster.jpg
Phase Three,Captain Marvel,"March 8, 2019",426829839,701445424,1128275263,26,27,79,A,175000000,https://upload.wikimedia.org/wikipedia/en/4/4e/Captain_Marvel_%28film%29_poster.jpg
Phase Three,Avengers: Endgame,"April 26, 2019",858373000,1939427564,2797800564,2,2,94,A+,400000000,https://upload.wikimedia.org/wikipedia/en/0/0d/Avengers_Endgame_poster.jpg
Phase Three,Spider-Man: Far From Home,"July 2, 2019",390532085,741395911,1131927996,41,26,90,A,160000000,https://upload.wikimedia.org/wikipedia/en/b/bd/Spider-Man_Far_From_Home_poster.jpg
Phase Four,Black Widow,"July 9, 2021",183651655,196100000,379751655,261,361,79,A−,200000000,https://upload.wikimedia.org/wikipedia/en/e/e9/Black_Widow_%282021_film%29_poster.jpg
Phase Four,Shang-Chi and the Legend of the Ten Rings,"September 3, 2021",224543292,207700000,432243292,174,293,91,A,200000000,https://upload.wikimedia.org/wikipedia/en/7/74/Shang-Chi_and_the_Legend_of_the_Ten_Rings_poster.jpeg
Phase Four,Eternals,"November 5, 2021",164870234,237194665,402064899,334,334,47,B,200000000,https://upload.wikimedia.org/wikipedia/en/9/9b/Eternals_%28film%29_poster.jpeg
