Phase,Film,Year_Release,U.S. release date,Box office gross U.S. and Canada,Box office gross Other territories,Box office gross Worldwide,Rotten Tomatoes Rating,CinemaScore,Budget,Director,Producer,movie_image
Phase One,Iron Man,2008,2-May-08,319034126,266762121,585796247,94,A,140000000,Jon Favreau,Avi Arad and Kevin Feige,https://upload.wikimedia.org/wikipedia/en/0/02/Iron_Man_%282008_film%29_poster.jpg
Phase One,The Incredible Hulk,2008,13-Jun-08,134806913,129964083,264770996,67,A−,150000000,Louis Leterrier,"Avi Arad, Gale Anne Hurdand Kevin Feige",https://upload.wikimedia.org/wikipedia/en/f/f0/The_Incredible_Hulk_%28film%29_poster.jpg
Phase One,Iron Man 2,2010,7-May-10,312433331,311500000,623933331,71,A,200000000,Jon Favreau,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/e/ed/Iron_Man_2_poster.jpg
Phase One,Thor,2011,6-May-11,181030624,268295994,449326618,77,B+,150000000,Kenneth Branagh,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/9/95/Thor_%28film%29_poster.jpg
Phase One,Captain America: The First Avenger,2011,22-Jul-11,176654505,193915269,370569774,79,A−,140000000,Joe Johnston,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/3/37/Captain_America_The_First_Avenger_poster.jpg
Phase One,Marvel's The Avengers,2012,4-May-12,623357910,895457605,1518815515,91,A+,220000000,Joss Whedon,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/8/8a/The_Avengers_%282012_film%29_poster.jpg
Phase Two,Iron Man 3,2013,3-May-13,409013994,805797258,1214811252,79,A,200000000,Shane Black,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/1/19/Iron_Man_3_poster.jpg
Phase Two,Thor: The Dark World,2013,8-Nov-13,206362140,438421000,644783140,66,A−,170000000,Alan Taylor,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/7/7f/Thor_The_Dark_World_poster.jpg
Phase Two,Captain America: The Winter Soldier,2014,4-Apr-14,259766572,454654931,714421503,90,A,177000000,Anthony and Joe Russo,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/9/9e/Captain_America_The_Winter_Soldier_poster.jpg
Phase Two,Guardians of the Galaxy,2014,1-Aug-14,333718600,439631547,773350147,92,A,170000000,James Gunn,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/3/33/Guardians_of_the_Galaxy_%28film%29_poster.jpg
Phase Two,Avengers: Age of Ultron,2015,1-May-15,459005868,943800000,1402805868,76,A,444000000,Joss Whedon,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/f/ff/Avengers_Age_of_Ultron_poster.jpg
Phase Two,Ant-Man,2015,17-Jul-15,180202163,339109802,519311965,83,A,130000000,Peyton Reed,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/1/12/Ant-Man_%28film%29_poster.jpg
Phase Three,Captain America: Civil War,2016,6-May-16,408084349,745211944,1153296293,90,A,250000000,Anthony and Joe Russo,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/5/53/Captain_America_Civil_War_poster.jpg
Phase Three,Doctor Strange,2016,4-Nov-16,232641920,445076475,677718395,89,A,165000000,Scott Derrickson,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/a/a1/Doctor_Strange_%282016_film%29_poster.jpg
Phase Three,Guardians of the Galaxy Vol. 2,2017,5-May-17,389813101,473942950,863756051,85,A,200000000,James Gunn,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/a/ab/Guardians_of_the_Galaxy_Vol_2_poster.jpg
Phase Three,Spider-Man: Homecoming,2017,7-Jul-17,334201140,545965784,880166924,92,A,175000000,Jon Watts,Kevin Feige and Amy Pascal,https://upload.wikimedia.org/wikipedia/en/f/f9/Spider-Man_Homecoming_poster.jpg
Phase Three,Thor: Ragnarok,2017,3-Nov-17,315058289,538918837,853977126,93,A,180000000,Taika Waititi,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/7/7d/Thor_Ragnarok_poster.jpg
Phase Three,Black Panther,2018,16-Feb-18,700426566,646853595,1347280161,96,A+,200000000,Ryan Coogler,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/d/d6/Black_Panther_%28film%29_poster.jpg
